"M"	"bottomly"	"patel"	"montastier"	"hess"
"knn5"	1	0.871913992869875	0.796296296296296	0.744852941176471
"knn9"	1	0.889939839572192	0.803703703703704	0.744117647058824
"logistic"	1	0.853386809269162	0.818518518518519	0.672058823529412
"l1"	1	0.859447415329768	0.822222222222222	0.670588235294118
"l2"	1	0.878030303030303	0.82962962962963	0.755555555555556
"lda"	1	0.884280303030303	0.848148148148148	0.720833333333333
"dlda"	1	0.883689839572192	0.811111111111111	0.733088235294118
"rf"	1	0.884057486631016	0.792592592592593	0.744117647058824
"ada"	0.52	0.853030303030303	0.796296296296296	0.755147058823529
