acc	set	p
1	bottomly	2
1	bottomly	5
1	bottomly	10
1	bottomly	20
1	bottomly	50
1	bottomly	100
1	bottomly	200
1	bottomly	500
1	bottomly	1000
1	bottomly	2000
1	bottomly	5000
1	bottomly	10000
0.810984848484849	patel	2
0.859659090909091	patel	5
0.878030303030303	patel	10
0.853787878787879	patel	20
0.835606060606061	patel	50
0.853787878787879	patel	100
0.865909090909091	patel	200
0.859848484848485	patel	500
0.859848484848485	patel	1000
0.847727272727273	patel	2000
0.871969696969697	patel	5000
NA	patel	10000
0.781481481481481	montastier	2
0.818518518518519	montastier	5
0.82962962962963	montastier	10
0.833333333333333	montastier	20
0.840740740740741	montastier	50
0.82962962962963	montastier	100
0.833333333333333	montastier	200
NA	montastier	500
NA	montastier	1000
NA	montastier	2000
NA	montastier	5000
NA	montastier	10000
0.672794117647059	hess	2
0.697222222222222	hess	5
0.755555555555556	hess	10
0.756944444444444	hess	20
0.720833333333333	hess	50
0.793055555555556	hess	100
0.756944444444444	hess	200
0.769444444444444	hess	500
0.794444444444444	hess	1000
0.783333333333333	hess	2000
0.795833333333333	hess	5000
0.795833333333333	hess	10000
